Cantidad de fields: 256
Cantidad de PDFTextField: 142
Cantidad de PDFCheckBox:114
Suma Total PDFTextField + PDFCheckBox = 256



form1[0].#pageSet[0].Page1[0].PDF417BarCode1[0] (PDFTextField) — Allow Rich Text: NO
form1[0].#pageSet[0].Page1[1].PDF417BarCode1[0] (PDFTextField) — Allow Rich Text: NO
form1[0].#pageSet[0].Page1[2].PDF417BarCode1[0] (PDFTextField) — Allow Rich Text: NO
form1[0].#pageSet[0].Page1[3].PDF417BarCode1[0] (PDFTextField) — Allow Rich Text: NO
form1[0].#pageSet[0].Page1[4].PDF417BarCode1[0] (PDFTextField) — Allow Rich Text: NO
form1[0].#pageSet[0].Page1[5].PDF417BarCode1[0] (PDFTextField) — Allow Rich Text: NO
form1[0].#pageSet[0].Page1[6].PDF417BarCode1[0] (PDFTextField) — Allow Rich Text: NO
form1[0].#pageSet[0].Page1[7].PDF417BarCode1[0] (PDFTextField) — Allow Rich Text: NO
form1[0].#pageSet[0].Page1[8].PDF417BarCode1[0] (PDFTextField) — Allow Rich Text: NO
form1[0].#subform[0].CheckBox1[0] (PDFCheckBox) — Allow Rich Text: NO
form1[0].#subform[0].AttorneyStateBarNumber[0] (PDFTextField) — Allow Rich Text: NO
form1[0].#subform[0].#area[0].USCISOnlineAcctNumber[0] (PDFTextField) — Allow Rich Text: NO
form1[0].#subform[0].#area[1].Pt1Line2_SSN[0] (PDFTextField) — Allow Rich Text: NO
form1[0].#subform[0].#area[2].Pt1Line1_AlienNumber[0] (PDFTextField) — Allow Rich Text: NO
form1[0].#subform[0].#area[3].Pt1Line3_USCISELISAcctNumber[0] (PDFTextField) — Allow Rich Text: NO
form1[0].#subform[0].Pt1Line4a_FamilyName[0] (PDFTextField) — Allow Rich Text: NO
form1[0].#subform[0].Pt1Line4b_GivenName[0] (PDFTextField) — Allow Rich Text: NO
form1[0].#subform[0].Pt1Line4c_MiddleName[0] (PDFTextField) — Allow Rich Text: NO
form1[0].#subform[0].Pt1Line5a_FamilyName[0] (PDFTextField) — Allow Rich Text: NO
form1[0].#subform[0].Pt1Line5b_GivenName[0] (PDFTextField) — Allow Rich Text: NO
form1[0].#subform[0].Pt1Line5c_MiddleName[0] (PDFTextField) — Allow Rich Text: NO
form1[0].#subform[0].Pt1Line6a_FamilyName[0] (PDFTextField) — Allow Rich Text: NO
form1[0].#subform[0].Pt1Line6b_GivenName[0] (PDFTextField) — Allow Rich Text: NO
form1[0].#subform[0].Pt1Line6c_MiddleName[0] (PDFTextField) — Allow Rich Text: NO
form1[0].#subform[0].Pt1Line7a_InCareofName[0] (PDFTextField) — Allow Rich Text: NO
form1[0].#subform[0].Pt1Line7b_StreetNumberName[0] (PDFTextField) — Allow Rich Text: NO
form1[0].#subform[0].Pt1Line7c_Unit[0] (PDFCheckBox) — Allow Rich Text: NO
form1[0].#subform[0].Pt1Line7c_Unit[1] (PDFCheckBox) — Allow Rich Text: NO
form1[0].#subform[0].Pt1Line7c_AptSteFlrNumber[0] (PDFTextField) — Allow Rich Text: NO
form1[0].#subform[0].Pt1Line7c_Unit[2] (PDFCheckBox) — Allow Rich Text: NO
