form1[0].#subform[0].AttorneyStateBarNumber[0], PDFTextField
form1[0].#subform[0].VolagNumber[0], PDFTextField
form1[0].#subform[0].USCISOnlineAcctNumber[0], PDFTextField
form1[0].#subform[0].CheckBox1[0], PDFCheckBox
form1[0].#subform[0].Pt1Line10_AlienNumber[0], PDFTextField
form1[0].#subform[0].Pt1Line1a_FamilyName[0], PDFTextField
form1[0].#subform[0].Pt1Line1b_GivenName[0], PDFTextField
form1[0].#subform[0].Pt1Line1c_MiddleName[0], PDFTextField
form1[0].#subform[0].Pt1Line2a_FamilyName[0], PDFTextField
form1[0].#subform[0].Pt1Line3a_FamilyName[0], PDFTextField
form1[0].#subform[0].Pt1Line2b_GivenName[0], PDFTextField
form1[0].#subform[0].Pt1Line3b_GivenName[0], PDFTextField
form1[0].#subform[0].Pt1Line2c_MiddleName[0], PDFTextField
form1[0].#subform[0].Pt1Line3c_MiddleName[0], PDFTextField
form1[0].#subform[0].Pt1Line5_DateofBirth[0], PDFTextField
form1[0].#subform[0].Pt1Line6_Gender[1], PDFCheckBox
form1[0].#subform[0].Pt1Line6_Gender[0], PDFCheckBox
form1[0].#subform[0].Pt1Line6_CityOrTown[0], PDFTextField
form1[0].#subform[1].Pt1Line10_AlienNumber[2], PDFTextField
form1[0].#subform[1].Pt1Line11_USCISELISAcctNumber[0], PDFTextField
form1[0].#subform[1].Pt1Line8_CountryofBirth[0], PDFTextField
form1[0].#subform[1].Pt1Line9_CountryofCitizenship[0], PDFTextField
form1[0].#subform[1].Pt1Line20_ExpDate[0], PDFTextField
form1[0].#subform[1].Pt1Line21_Passport[0], PDFTextField
form1[0].#subform[1].Pt1Line23b_State[0], PDFTextField
form1[0].#subform[1].Pt1Line23a_CityTown[0], PDFTextField
form1[0].#subform[1].Pt1Line24_Date[0], PDFTextField
form1[0].#subform[1].Pt1Line14_YN[1], PDFCheckBox
form1[0].#subform[1].Pt1Line14_YN[0], PDFCheckBox
form1[0].#subform[1].Pt1Line15_SSN[0], PDFTextField
form1[0].#subform[1].Pt1Line16_YN[1], PDFCheckBox
form1[0].#subform[1].Pt1Line16_YN[0], PDFCheckBox
form1[0].#subform[1].Pt1Line17_YN[1], PDFCheckBox
form1[0].#subform[1].Pt1Line17_YN[0], PDFCheckBox
form1[0].#subform[1].Pt1Line10_AlienNumber[1], PDFTextField
